text,label,agreement,lemmatized
new hey love mmr manymenrecords youaintgotnoeazyinyourserato trappfly comingsoon,0.0,1.0,"['new', 'hey', 'love', 'mmr', 'manymenrecords', 'youaintgotnoeazyinyourserato', 'trappfly', 'comingsoon']"
new extends exemption charitable immunity certain civil action person age,0.0,1.0,"['new', 'extends', 'exemption', 'charitable', 'immunity', 'certain', 'civil', 'action', 'person', 'age']"
esp mercury free vaccine available,1.0,0.6666666666666666,"['esp', 'mercury', 'free', 'vaccine', 'available']"
life entertainment yotc mmr exotics,0.0,1.0,"['life', 'entertainment', 'yotc', 'mmr', 'exotics']"
baby luna sore vaccine poorpuppy,0.0,0.6666666666666666,"['baby', 'luna', 'sore', 'vaccine', 'poorpuppy']"
vaccine change course u disease time,0.0,0.6666666666666666,"['vaccine', 'change', 'course', 'u', 'disease', 'time']"
make tear allergic vaccine baby,0.0,1.0,"['make', 'tear', 'allergic', 'vaccine', 'baby']"
shld put statement shameful tell fb follower worry,-1.0,0.3333333333333333,"['shld', 'put', 'statement', 'shameful', 'tell', 'fb', 'follower', 'worry']"
vaccine cause brain swell fever seizure ultimately brain encephalitis read package insert,-1.0,1.0,"['vaccine', 'cause', 'brain', 'swell', 'fever', 'seizure', 'ultimately', 'brain', 'encephalitis', 'read', 'package', 'insert']"
hearthiswell vaccine r link autism ibd peds note mmr mo cdcwhistleblower breakabillion,-1.0,1.0,"['hearthiswell', 'vaccine', 'r', 'link', 'autism', 'ibd', 'peds', 'note', 'mmr', 'mo', 'cdcwhistleblower', 'breakabillion']"
new recommend immunization schedule cdc,0.0,0.6666666666666666,"['new', 'recommend', 'immunization', 'schedule', 'cdc']"
reagan school send flyer offering flu insurance cost insurance cost tn care say,1.0,1.0,"['reagan', 'school', 'send', 'flyer', 'offering', 'flu', 'insurance', 'cost', 'insurance', 'cost', 'tn', 'care', 'say']"
mmr radio ohhhhh get close excite,0.0,1.0,"['mmr', 'radio', 'ohhhhh', 'get', 'close', 'excite']"
measles party like chicken pox party ppl intentionally make child sick,0.0,0.6666666666666666,"['measles', 'party', 'like', 'chicken', 'pox', 'party', 'ppl', 'intentionally', 'make', 'child', 'sick']"
pass vaccine protocol agreement influenza exempt activity conduct hospital health syste,0.0,0.6666666666666666,"['pass', 'vaccine', 'protocol', 'agreement', 'influenza', 'exempt', 'activity', 'conduct', 'hospital', 'health', 'syste']"
case measles year since publichealth,0.0,1.0,"['case', 'measles', 'year', 'since', 'publichealth']"
case measles idiot need vaccinate really,1.0,1.0,"['case', 'measles', 'idiot', 'need', 'vaccinate', 'really']"
aid n bcg vaccination could improve survival hiv expose baby,1.0,1.0,"['aid', 'n', 'bcg', 'vaccination', 'could', 'improve', 'survival', 'hiv', 'expose', 'baby']"
new school provide immunity liability education employee use reasonable effecti,0.0,1.0,"['new', 'school', 'provide', 'immunity', 'liability', 'education', 'employee', 'use', 'reasonable', 'effecti']"
california governor sign strict school vaccine legislation jerry brown wasted time tuesday signing,1.0,0.6666666666666666,"['california', 'governor', 'sign', 'strict', 'school', 'vaccine', 'legislation', 'jerry', 'brown', 'wasted', 'time', 'tuesday', 'signing']"
know literally evidence base literature show correlation autism amp vaccine,1.0,1.0,"['know', 'literally', 'evidence', 'base', 'literature', 'show', 'correlation', 'autism', 'amp', 'vaccine']"
could pay enough vaccinate way notachance,-1.0,1.0,"['could', 'pay', 'enough', 'vaccinate', 'way', 'notachance']"
new law give immunity volunteer medical worker doctor nurse health care provider,0.0,1.0,"['new', 'law', 'give', 'immunity', 'volunteer', 'medical', 'worker', 'doctor', 'nurse', 'health', 'care', 'provider']"
parent illusion vaccine witch lack vaccination already kill baby,1.0,1.0,"['parent', 'illusion', 'vaccine', 'witch', 'lack', 'vaccination', 'already', 'kill', 'baby']"
theire read disease syria hope assad nightmare end soon polio tb measles lieshmanisis amp many,0.0,1.0,"['theire', 'read', 'disease', 'syria', 'hope', 'assad', 'nightmare', 'end', 'soon', 'polio', 'tb', 'measles', 'lieshmanisis', 'amp', 'many']"
measles bart rode lafayette sf feb back may expose ktvu,0.0,1.0,"['measles', 'bart', 'rode', 'lafayette', 'sf', 'feb', 'back', 'may', 'expose', 'ktvu']"
uncbball autismspeaks vaccinate kid,1.0,1.0,"['uncbball', 'autismspeaks', 'vaccinate', 'kid']"
ebola first discover plenty time find amp deploy vaccine fail cdc,1.0,0.6666666666666666,"['ebola', 'first', 'discover', 'plenty', 'time', 'find', 'amp', 'deploy', 'vaccine', 'fail', 'cdc']"
vaccine available grow measles chicken pox even german measles,0.0,0.6666666666666666,"['vaccine', 'available', 'grow', 'measles', 'chicken', 'pox', 'even', 'german', 'measles']"
hippie parent come cry healthcare system kid get fuck polio measles,1.0,1.0,"['hippie', 'parent', 'come', 'cry', 'healthcare', 'system', 'kid', 'get', 'fuck', 'polio', 'measles']"
possible exposure measles fourth airport adoptee child arrive beijing,0.0,1.0,"['possible', 'exposure', 'measles', 'fourth', 'airport', 'adoptee', 'child', 'arrive', 'beijing']"
study kid find link mmr vaccine autism,0.0,0.6666666666666666,"['study', 'kid', 'find', 'link', 'mmr', 'vaccine', 'autism']"
shark best immunity diseases know man deadly diseases like cancer affect shark,0.0,1.0,"['shark', 'best', 'immunity', 'diseases', 'know', 'man', 'deadly', 'diseases', 'like', 'cancer', 'affect', 'shark']"
vaccinate child take away go jail tbh literal garbage,1.0,0.6666666666666666,"['vaccinate', 'child', 'take', 'away', 'go', 'jail', 'tbh', 'literal', 'garbage']"
fda admits court case murderousirresponsibility continue old debunked accusation spammer vaccine,0.0,0.6666666666666666,"['fda', 'admits', 'court', 'case', 'murderousirresponsibility', 'continue', 'old', 'debunked', 'accusation', 'spammer', 'vaccine']"
vaccine kid prepare adult need updated immunization,1.0,0.6666666666666666,"['vaccine', 'kid', 'prepare', 'adult', 'need', 'updated', 'immunization']"
measles emoji,0.0,1.0,"['measles', 'emoji']"
let vaccination go read health morethanapharmacy,1.0,0.6666666666666666,"['let', 'vaccination', 'go', 'read', 'health', 'morethanapharmacy']"
child die disease reach,1.0,1.0,"['child', 'die', 'disease', 'reach']"
wait vaccination go back blow number fml,1.0,1.0,"['wait', 'vaccination', 'go', 'back', 'blow', 'number', 'fml']"
vaccinate kid two minute,1.0,0.6666666666666666,"['vaccinate', 'kid', 'two', 'minute']"
oust mayor central district health immunization,0.0,0.6666666666666666,"['oust', 'mayor', 'central', 'district', 'health', 'immunization']"
hate measles sign everyone,0.0,1.0,"['hate', 'measles', 'sign', 'everyone']"
hey right choose want kid vaccinate right body,0.0,1.0,"['hey', 'right', 'choose', 'want', 'kid', 'vaccinate', 'right', 'body']"
california measles outbreak huge indicator outcome place immigrant child vaccinate red flag,1.0,0.6666666666666666,"['california', 'measles', 'outbreak', 'huge', 'indicator', 'outcome', 'place', 'immigrant', 'child', 'vaccinate', 'red', 'flag']"
soup mmr dc dj dmv djflyer photoshop promote edm,0.0,1.0,"['soup', 'mmr', 'dc', 'dj', 'dmv', 'djflyer', 'photoshop', 'promote', 'edm']"
ai ill nigga new vaccine really like poison,0.0,1.0,"['ai', 'ill', 'nigga', 'new', 'vaccine', 'really', 'like', 'poison']"
initialsofsomeonewhomeanssomething mmr hoe,0.0,1.0,"['initialsofsomeonewhomeanssomething', 'mmr', 'hoe']"
aim require meningitis vaccine school,1.0,1.0,"['aim', 'require', 'meningitis', 'vaccine', 'school']"
vaccine save life nbd ur kid need,1.0,0.6666666666666666,"['vaccine', 'save', 'life', 'nbd', 'ur', 'kid', 'need']"
get freaking child vaccinate people,1.0,1.0,"['get', 'freaking', 'child', 'vaccinate', 'people']"
study kid find link mmr vaccine autism,1.0,0.6666666666666666,"['study', 'kid', 'find', 'link', 'mmr', 'vaccine', 'autism']"
first time almost year someone california die whooping cough baby vaccinate savealife,1.0,0.6666666666666666,"['first', 'time', 'almost', 'year', 'someone', 'california', 'die', 'whooping', 'cough', 'baby', 'vaccinate', 'savealife']"
vaccinate one child criminal offense child neglect public endangerment,1.0,1.0,"['vaccinate', 'one', 'child', 'criminal', 'offense', 'child', 'neglect', 'public', 'endangerment']"
vaccinate kid automatically like,1.0,1.0,"['vaccinate', 'kid', 'automatically', 'like']"
science parent vaccinate kid compromise herd immunity amp threaten kid health child fb,1.0,1.0,"['science', 'parent', 'vaccinate', 'kid', 'compromise', 'herd', 'immunity', 'amp', 'threaten', 'kid', 'health', 'child', 'fb']"
friend bronze duoing diamond player pretty sure bronze mmr diamond level,0.0,1.0,"['friend', 'bronze', 'duoing', 'diamond', 'player', 'pretty', 'sure', 'bronze', 'mmr', 'diamond', 'level']"
u hella crunchy still understand basic science hippie smartypants,1.0,0.6666666666666666,"['u', 'hella', 'crunchy', 'still', 'understand', 'basic', 'science', 'hippie', 'smartypants']"
orgasms increase level youth hormone dhea improve brain function boost immunity amp promote skin health,0.0,0.6666666666666666,"['orgasms', 'increase', 'level', 'youth', 'hormone', 'dhea', 'improve', 'brain', 'function', 'boost', 'immunity', 'amp', 'promote', 'skin', 'health']"
let people want vaccinate kid give vaccine kid latin america africa,0.0,1.0,"['let', 'people', 'want', 'vaccinate', 'kid', 'give', 'vaccine', 'kid', 'latin', 'america', 'africa']"
rarely see argument actually big deal,0.0,0.6666666666666666,"['rarely', 'see', 'argument', 'actually', 'big', 'deal']"
