text,label,agreement,lemmatized
amp big homie meanboy mb mb mmr stegmanlife stegman,0.0,1.0,"['amp', 'big', 'homie', 'meanboy', 'mb', 'mb', 'mmr', 'stegmanlife', 'stegman']"
think devote career prove autism cause vaccine due idiotic post see world autism day,1.0,1.0,"['think', 'devote', 'career', 'prove', 'autism', 'cause', 'vaccine', 'due', 'idiotic', 'post', 'see', 'world', 'autism', 'day']"
whatcausesautism vaccine vaccinate child,-1.0,1.0,"['whatcausesautism', 'vaccine', 'vaccinate', 'child']"
mean immunize kid something wo secretly kill year line trust,-1.0,1.0,"['mean', 'immunize', 'kid', 'something', 'wo', 'secretly', 'kill', 'year', 'line', 'trust']"
thanks catch perform la nuit nyc show start jennifair,0.0,1.0,"['thanks', 'catch', 'perform', 'la', 'nuit', 'nyc', 'show', 'start', 'jennifair']"
nearly year old study mental health study vaccines relatively infancy refute,1.0,0.6666666666666666,"['nearly', 'year', 'old', 'study', 'mental', 'health', 'study', 'vaccines', 'relatively', 'infancy', 'refute']"
study kid find link mmr vaccine autism,1.0,0.6666666666666666,"['study', 'kid', 'find', 'link', 'mmr', 'vaccine', 'autism']"
psa vaccinate fucking kid,1.0,1.0,"['psa', 'vaccinate', 'fucking', 'kid']"
cough extra shuttle everyone think vaccinateyourkids,1.0,0.6666666666666666,"['cough', 'extra', 'shuttle', 'everyone', 'think', 'vaccinateyourkids']"
aid vaccine create oregon health amp science university may clear virus body,1.0,0.6666666666666666,"['aid', 'vaccine', 'create', 'oregon', 'health', 'amp', 'science', 'university', 'may', 'clear', 'virus', 'body']"
point text jovi cover playin alibi hope u come mmr bbq b,0.0,1.0,"['point', 'text', 'jovi', 'cover', 'playin', 'alibi', 'hope', 'u', 'come', 'mmr', 'bbq', 'b']"
prediction vaccine exemption arizona end much money lose big pharma,0.0,0.6666666666666666,"['prediction', 'vaccine', 'exemption', 'arizona', 'end', 'much', 'money', 'lose', 'big', 'pharma']"
get vaccine china nervous move cheryl southern nevada health district,1.0,1.0,"['get', 'vaccine', 'china', 'nervous', 'move', 'cheryl', 'southern', 'nevada', 'health', 'district']"
mug noche mmr mixmasterrod dcdj mmr mad hatter,0.0,1.0,"['mug', 'noche', 'mmr', 'mixmasterrod', 'dcdj', 'mmr', 'mad', 'hatter']"
get influenza vaccine purdue university student health push,1.0,0.6666666666666666,"['get', 'influenza', 'vaccine', 'purdue', 'university', 'student', 'health', 'push']"
enroll meningococcal immunized recommend age,0.0,0.6666666666666666,"['enroll', 'meningococcal', 'immunized', 'recommend', 'age']"
increase number parent skip vaccination missourian columbia,0.0,1.0,"['increase', 'number', 'parent', 'skip', 'vaccination', 'missourian', 'columbia']"
